term,coefficient
Intercept,16715.359766421057
temp,500.691830950543
precip,-233.00613420306786
windspeed,-198.6517533772712
visibility,151.6973899064906
uvindex,1022.8951231948403
day_Mon,0.0
day_Tue,2412.3526176366668
day_Wed,2596.3982408019124
day_Thu,2489.980359610384
day_Fri,788.196448284416
day_Sat,-1252.1698453366457
day_Sun,-3654.199419692142
month_1,0.0
month_2,717.3953255231045
month_3,105.24752501885138
month_4,-403.1793987038673
month_5,1460.2737775504113
month_6,2839.2650002552455
month_7,2774.5386548923643
month_8,1584.0289928092059
month_9,3386.090515765045
month_10,4092.466255496878
month_11,3356.659904976347
month_12,-1053.3780408453717
